IDYLLS OF THE KING,ALFRED LORD TENNYSON,,POETRY ,2/10/18,12/8/18,,MONTANA!,,,
IDYLLS OF THE KING,ALFRED LORD TENNYSON,,POETRY ,2/23/19,,,NEBRASKA!,,,
MY GARGANTUAN DESIRE,BRAD CRENSHAW,,POETRY ,10/31/15,,,NEVADA!,,,
OMEROS,DEREK WALCOTT,,POETRY ,10/31/15,,,OKLAHOMA PRIDE,,,
FROM THE HEART,DICK JOHNSON,,POETRY ,11/9/16,4/20/19,,OKLAHOMA!,,,
NOW THE GREEN BLADE RISES POEMS,ELIZABETH SPIRES,,POETRY ,3/4/17,11/9/19,,OREGON!,,,
THE WOMAN IN THIS POEM: WOMEN'S VOICES IN POETRY,GEORGIA HEARD,,POETRY ,9/9/17,12/8/18,,TENNESSEE!,,,
VERSE TERSE AND WHAT'S WORSE: SOME LOVE POEMS,JANE S. WILSON,,POETRY ,11/9/16,,,TEXAS!,,,
"WHEN I WALK THROUGH THAT DOOR, I AM",JIMMY SANTIAGO BACA,,POETRY ,2/23/19,9/14/19,,UTAH!,,,
IN AVANT-GARDENS,JOHN STIGALL,,POETRY ,10/31/15,2/13/19,,WASHINGTON!,,,
PINK MIST,OWEN SHEERS,,POETRY ,9/9/17,1/25/20,,WISCONSIN!,,,
HOW TO WRITE POETRY,PAUL B. JANECZKO,,POETRY ,11/9/16,11/9/19,,SPUR: HIGH PLAINS PRINCESS,,,
THE BEST OF THE POEM: AN INTERNATIONAL JOURNAL,PETER JOHNSON,,POETRY ,11/9/16,,,THE RENEGADE,,,
THE ROMANTIC DOGS: POEMS,ROBERTO BOLANO,,POETRY ,10/31/15,4/20/19,,RAMAGE AND THE RENEGADES,,,
THE LONG TAKE,ROBIN ROBERTSON,,POETRY ,2/23/19,11/9/19,,THE BLACK SHIP,,,
CURVES TO THE APPLE,ROSMARIE WALDROP,,POETRY ,4/2/15,,,THE KNOWN WORLD,,,
POEMCRAZY,SUSAN GOLDSMITH WOOLDRIDGE,,POETRY ,11/9/16,12/8/18,,ALL QUIET ON THE WESTERN FRONT,,,
PLEIADES,VARIOUS,,POETRY ,4/3/16,11/9/19,,THE GLITTER AND THE GOLD,,,
THE BOOK OF FABLES,W. S. MERWIN,,POETRY ,10/13/18,12/8/18,,CONQUERING HORSE,,,
CROSSWORDS: VOLUME 3,COFFEE TIME PUZZLES,,PUZZLES/GAMES,9/9/17,,,BEYOND THE WELFARE STATE,,,
WHY DO CLOCKS RUN CLOCKWISE? AND OTHER IMPONDERABLES,DAVID FELDMAN,,PUZZLES/GAMES,11/9/16,3/4/17,,TEAM YANKEE,,,
BIG LEAGUE BASEBALL PUZZLERS,DOM FORKER,,PUZZLES/GAMES,12/2/17,12/2/17,,THE LAST VALLEY,,,
CROSSWORD MYSTERIES DARING DETECTIVE CHALLENGE,HELENE CHIRINIAN,,PUZZLES/GAMES,11/9/16,4/22/17,,TIME AND AGAIN,,,
THE BIG BOOK OF AMERICAN TRIVIA,J. STEPHEN LANG,,PUZZLES/GAMES,11/9/16,,,WOLVERINE,,,
SECRET GARDEN,JOHANNA BASFORD,,PUZZLES/GAMES,2/13/19,2/13/19,,THE BRAVE FREE MEN,,,
THE WINNER'S GUIDE TO DICE,JOHN SAVAGE,,PUZZLES/GAMES,10/31/19,12/7/19,,FROM HERE TO ETERNITY,,,
LARGE PRINT WORD-FINDS,KAPPA BOOKS,,PUZZLES/GAMES,2/23/19,3/30/19,,MY BROTHER SAM IS DEAD,,,
WHO WANTS TO BE A MILLIONARE,MICHAEL P. DAVIS,,PUZZLES/GAMES,12/7/19,1/25/20,,GODS AND GENERALS,,,
DOG ATE MY MAD LIBS,N/A,,PUZZLES/GAMES,10/31/19,,,DAUGHTER OF THE RED DEER,,,
"GIANT ACTIVITY BOOK (COLORING, PUZZLES, GAMES)",N/A,,PUZZLES/GAMES,10/14/17,10/14/17,,THE 42ND PARALLEL; NINETEEN NINETEEN,,,
HOLIDAY WORD SEARCH,N/A,,PUZZLES/GAMES,10/31/19,11/9/19,,FORD COUNTY,,,
HOLIDAY WORD SEARCH,N/A,,PUZZLES/GAMES,12/7/19,12/7/19,,COMING INTO THE COUNTRY,,,
HUMAN CRYPTOGRAMS,N/A,,PUZZLES/GAMES,12/2/17,12/2/17,,FROM THE MOUTH OF THE WHALE,,,
J.R.R. TRIVIA,N/A,,PUZZLES/GAMES,12/2/17,12/2/17,,TOMAHAWKS AND LONG RIFLES,,,
PUZZLE ACTIVITY BOOK,N/A,,PUZZLES/GAMES,10/14/17,10/14/17,,A PLACE CALLED FREEDOM,,,
SUPER CROSSWORDS,N/A,,PUZZLES/GAMES,10/31/19,11/9/19,,FALL OF GIANTS,,,
THE ORIGINAL TRIVIA TREASURY,R. WAYNE SCHMITTBERGER,,PUZZLES/GAMES,11/9/16,2/4/17,,ON WINGS OF EAGLES,,,
CAN YOU FIND IT?,RANDALL MCCUTCHEON,,PUZZLES/GAMES,10/31/19,11/9/19,,THE KEY TO REBELLION,,,
LAW DICTIONARY,DANIEL ORAN,,REFERENCE,12/7/19,1/25/20,,TRIPLE,,,
A DICTIONARY OF POLITICS FOURTH EDITION,"FLORENCE ELLIOT, MICHAEL SUMMERSKILL",,REFERENCE,11/9/16,3/4/17,,RED PHOENIX,,,
ARCADE DICTIONARY OF WORD ORIGINS,N/A,,REFERENCE,2/4/17,2/4/17,,LONESOME DOVE,,,
ATLAS OF THE WORLD,N/A,,REFERENCE,10/31/19,1/25/20,,CEREMONY,,,
ATLAS OF THE WORLD,N/A,,REFERENCE,10/31/19,1/25/20,,LYNCHING AT BROKEN BUTTE,,,
ATLAS OF THE WORLD,N/A,,REFERENCE,10/31/19,1/25/20,,HANGING WOMAN CREEK,,,
ATLAS OF THE WORLD,N/A,,REFERENCE,10/31/19,1/25/20,,TAGGART,,,
ATLAS OF THE WORLD,N/A,,REFERENCE,10/31/19,11/9/19,,JUBILEE,,,
CHOOSE YOUR WORDS: A SCHOOL THESAURUS,N/A,,REFERENCE,1/25/20,1/25/20,,THE AVIATOR'S WIFE,,,
CROSSWORD DICTIONARY,N/A,,REFERENCE,4/22/17,4/22/17,,EATERS OF THE DEAD,,,
DESCRIPTIONARY,N/A,,REFERENCE,2/4/17,2/4/17,,KILLER ANGELS,,,
DICTIONARY,N/A,,REFERENCE,10/31/19,12/7/19,,THE KILLER ANGELS,,,
DICTIONARY,N/A,,REFERENCE,11/9/19,11/9/19,,THE KILLER ANGELS: A CLASSIC NOVEL OF THE CIVIL WAR,,,
DICTIONARY,N/A,,REFERENCE,4/22/17,4/22/17,,RED RUBY HEART IN A COLD BLUE SEA,,,
DICTIONARY FOR STUDENTS,N/A,,REFERENCE,12/2/17,,,INDIAN AND WHITE,,,
DICTIONARY FOR STUDENTS,N/A,,REFERENCE,12/2/17,,,GIANTS IN THE EARTH,,,
DICTIONARY FOR STUDENTS,N/A,,REFERENCE,9/15/18,,,LAUGHING BOY,,,
DICTIONARY/THESAURUS,N/A,,REFERENCE,12/7/19,,,DESOLATION ISLAND,,,
DICTIONARY/THESAURUS,N/A,,REFERENCE,12/7/19,12/7/19,,H.M.S. SUPRISE,,,
DICTIONARY/THESAURUS,N/A,,REFERENCE,12/7/19,12/7/19,,MASTER AND COMMANDER,,,
DICTIONARY/THESAURUS,N/A,,REFERENCE,2/23/19,12/7/19,,THE FAR SIDE OF THE WORLD,,,
FIRST THESAURUS,N/A,,REFERENCE,10/31/19,,,THE LETTER MARQUE,,,
FIRST THESAURUS,N/A,,REFERENCE,10/31/19,,,THE MAURITIUS COMMAND,,,
FIRST THESAURUS,N/A,,REFERENCE,10/31/19,,,TREASON'S HARBOUR,,,
FIRST THESAURUS,N/A,,REFERENCE,10/31/19,,,THE OTHER BOLEYN GIRL,,,
FIRST THESAURUS,N/A,,REFERENCE,10/31/19,,,THE QUEEN'S FOOL,,,
FIRST THESAURUS,N/A,,REFERENCE,10/31/19,1/25/20,,ONCE WE WERE BROTHERS,,,
FIRST THESAURUS,N/A,,REFERENCE,10/31/19,1/25/20,,THE WESTERN DARE,,,
FIRST THESAURUS,N/A,,REFERENCE,10/31/19,1/25/20,,"WINESBURG, OHIO",,,
FIRST THESAURUS,N/A,,REFERENCE,10/31/19,1/25/20,,THE BEST OF THE WEST,,,
FIRST THESAURUS,N/A,,REFERENCE,12/7/19,,,GATES OF FIRE,,,
FIRST THESAURUS,N/A,,REFERENCE,12/7/19,1/25/20,,INDIANA JONES AND THE TEMPLE OF DOOM,,,
FIRST THESAURUS,N/A,,REFERENCE,12/7/19,1/25/20,,LITTLE BIG MAN,,,
GUINNESS WORLD RECORDS 2007,N/A,,REFERENCE,2/13/16,11/1/16,,SCHINDLER'S LIST,,,
LIFE MAGAZINE,N/A,,REFERENCE,11/9/19,11/9/19,,EVERY MAN A TIGER: THE GULF WAR AIR CAMPAIGN,,,
SPANISH DICTIONARY,N/A,,REFERENCE,10/31/19,1/25/20,,MIRROR IMAGE,,,
SPANISH-ENGLISH DICTIONARY,N/A,,REFERENCE,4/22/17,4/22/17,,OP-CENTER,,,
THESAURUS,N/A,,REFERENCE,12/7/19,12/7/19,,SUBMARINE,,,
THESAURUS,N/A,,REFERENCE,12/7/19,12/7/19,,THE LAST RIDE,,,
THESAURUS,N/A,,REFERENCE,12/7/19,12/7/19,,A THEIF OF TIME,,,
THESAURUS,N/A,,REFERENCE,12/7/19,12/7/19,,A THIEF OF TIME,,,
THESAURUS,N/A,,REFERENCE,4/22/17,4/22/17,,COYOTE WAITS,,,
THESAURUS,N/A,,REFERENCE,4/22/17,4/22/17,,PEOPLE OF DARKNESS,,,
THESAURUS,N/A,,REFERENCE,4/22/17,4/22/17,,SACRED CLOWNS,,,
THESAURUS FOR STUDENTS,N/A,,REFERENCE,2/23/19,,,SKIN WALKERS,,,
THESAURUS FOR STUDENTS,N/A,,REFERENCE,2/23/19,1/25/20,,TALKING GOD,,,
THESAURUS FOR STUDENTS,N/A,,REFERENCE,2/23/19,2/13/19,,THE BLESSING WAY,,,
AMERICAN PSYCHOLOGIST,VARIOUS,,REFERENCE,11/6/14,2/21/15,,THE DARK WIND,,,
NATIONAL GEOGRAPHIC,VARIOUS,,REFERENCE,1/25/20,1/25/20,,THE FIRST EAGLE,,,
NATIONAL GEOGRAPHIC,VARIOUS,,REFERENCE,11/9/19,11/9/19,,THE GHOSTWAY,,,
NATIONAL GEOGRAPHIC,VARIOUS,,REFERENCE,11/9/19,11/9/19,,THE SINISTER PIG,,,
NATIONAL GEOGRAPHIC,VARIOUS,,REFERENCE,11/9/19,11/9/19,,GIRL WITH A PEARL EARRING,,,
NATIONAL GEOGRAPHIC,VARIOUS,,REFERENCE,11/9/19,11/9/19,,MY ENEMY THE QUEEN,,,
NATIONAL GEOGRAPHIC,VARIOUS,,REFERENCE,11/9/19,11/9/19,,CUSTER DIED FOR YOUR SINS: AN INDIAN MANIFESTO,,,
NATIONAL GEOGRAPHIC,VARIOUS,,REFERENCE,11/9/19,11/9/19,,THE CORPS: SEMPER FI,,,
NATIONAL GEOGRAPHIC,VARIOUS,,REFERENCE,11/9/19,11/9/19,,ANNAPOLIS,,,
NATIONAL GEOGRAPHIC,VARIOUS,,REFERENCE,12/7/19,,,STONE SONG,,,
NATIONAL GEOGRAPHIC,VARIOUS,,REFERENCE,12/7/19,12/7/19,,RANGERS OF THE LONE STAR,,,
A FIRST UNDERGRADUATE COURSE IN ABSTRACT ALGEBRA,"ABRAHAM P. HILLMAN, GERALD L. ALEXANDERSON",,RELIGION,4/3/16,9/17/16,,EVERYTHING'S AN ARGUMENT,,,
CITTAVIVEKA: TEACHINGS FROM THE SILENT MIND,AJAHN SUMEDHO,,RELIGION,4/3/16,4/21/18,,"AN INTRODUCTION TO LITERATURE, CRITICISM AND THEORY",,,
THE FOUR NOBLE TRUTHS,AJAHN SUMEDHO,,RELIGION,2/9/19,3/30/19,,THE SONG OF THE BIRD,,,
THE FOUR NOBLE TRUTHS,AJAHN SUMEDHO,,RELIGION,4/3/16,2/10/18,,THE POISONWOOD BIBLE,,,
THE ACCIDENTAL UNIVERSE: THE WORLD YOU THOUGHT YOU KNEW,ALAN LIGHTMAN,,RELIGION,4/23/16,12/2/17,,CREATIVE FICTION: THE ART OF TRUTH,,,
SPIRITUAL EXCELLENCE,ALBAN GOODIER,,RELIGION,11/9/19,11/9/19,,WRITING CREATIVE NONFICTION,,,
SAINT ANTHONY OF PADUA: A VOICE FROM HEAVEN,ANTON ROTZETTER,,RELIGION,2/10/18,9/14/19,,REMIX: READING+COMPOSING CULTURE,,,
"EVALUATION FUNDAMENTALS - INSIGHTS INTO THE OUTCOMES, EFFECTIVENESS, AND QUALITY OF HEALTH PROGRAMS",ARLENE FINK,,RELIGION,10/31/15,11/1/16,,LETTERS TO A YOUNG WRITER,,,
DAY BY DAY: THE NOTRE DAME PRAYERBOOK FOR STUDENTS,AVE MARIA PRESS,,RELIGION,10/14/17,12/8/18,,THE BEST AMERICAN SPORTS WRITING OF THE CENTURY,,,
DAY BY DAY: THE NOTRE DAME PRAYERBOOK FOR STUDENTS,AVE MARIA PRESS,,RELIGION,10/14/17,8/24/19,,WRITING NATURALLY,,,
ENCOUNTERING JESUS IN THE NEW TESTAMENT,AVE MARIA PRESS,,RELIGION,10/14/17,8/24/19,,CREATIVE WRITING: FOUR GENRES IN BRIEF,,,
MEETING JESUS IN THE SACRAMENTS,AVE MARIA PRESS,,RELIGION,10/14/17,1/25/20,,CRAFTING THE PERSONAL ESSAY: A GUIDE FOR WRITING AND PUBLISHING CREATIVE NONFICTION,,,
YOUR LIFE IN CHRIST: FOUNDATIONS OF CATHOLIC MORALITY,AVE MARIA PRESS,,RELIGION,10/14/17,8/24/19,,THE TRUTH OF THE MATTER,,,
THE NOBLE EIGHTFOLD PATH,BHIKKHU BODHI,,RELIGION,4/3/16,4/21/18,,THE CONTEMPORARY ESSAY,,,
THE LIFE OF BUDDHA,BHIKKHU NANAMOLI,,RELIGION,4/21/18,12/8/18,,THE SHIPPING NEWS,,,
THE PROBLEM OF PAIN,C. S. LEWIS,,RELIGION,10/31/19,11/9/19,,WRITING ABOUT WRITING,,,
CHEMISTRY STUDY GUIDE,DONNAJEAN FREDEEN,,RELIGION,4/3/16,11/1/16,,THE FINE ART OF COPYEDITING,,,
LIFE IN THE REAL WORLD: 5-MINUTE DEVOTIONS FOR TEENS,EILEEN RITTER,,RELIGION,10/14/17,12/7/19,,A FIRST LOOK AT COMMUNICATION THEORY,,,
REDEEMING CREATION:THE BIBLICAL BASIS FOR ENVIRONMENTAL STEWARDSHIP,"FRED VAN DYKE, DAVID C. MAHAN",,RELIGION,10/14/17,4/20/19,,100 WAYS TO IMPROVE YOUR WRITING,,,
FINDING TRUE HAPPINESS,FULTON SHEEN,,RELIGION,10/14/17,9/15/18,,THE PRENTICE HALL READER,,,
WHAT SURVIVES?: CONTEMPORARY EXPLORATIONS OF LIFE AFTER DEATH,GARY DOORE,,RELIGION,4/3/16,4/22/17,,BETTER ENGLISH MADE EASY,,,
THE GENTLE WAY OF BUDDHIST MEDITATION,GODWIN SAMARARATNE,,RELIGION,4/3/16,9/17/16,,THE EDUCATION OF AMERICAN TEACHERS,,,
SON OF TEARS,HENRY W. CORAY,,RELIGION,10/14/17,3/30/19,,THE PROSE POEM: AN INTERNATIONAL JOURNAL,,,
A DICTIONARY OF LITURGY AND WORSHIP,J. G. GRAVES,,RELIGION,11/6/14,11/1/16,,A SHORT GUIDE TO WRITING ABOUT BIOLOGY,,,
THE BOOK OF THE SUBGENIUS,J. R. DOBBS,,RELIGION,11/1/16,11/1/16,,THE LITTLE BROWN COMPACT HANDBOOK,,,
SAVIOR,JACK J. BLANCO,,RELIGION,4/3/16,4/22/17,,IMAGINATIVE WRITING: THE ELEMENTS OF CRAFT,,,
"THE TENTH INSIGHT: HOLDING THE VISION, A POCKET GUIDE",JAMES REDFIELD,,RELIGION,4/3/16,,,WRITING DOWN YOUR SOUL,,,
WORLD RELIGIONS:A VOYAGE OF DISCOVERY,JEFFREY BRODD,,RELIGION,10/14/17,12/2/17,,"ROAD TRIPS, HEAD TRIPS, AND OTHER CAR-CRAZED WRITINGS",,,
SEEING AND SAVORING JESUS CHRIST,JOHN PIPER,,RELIGION,9/8/15,12/6/15,,THE INSIDER'S GUIDE TO GETTING PUBLISHED,,,
JOSHUA,JOSEPH F. GIRZONE,,RELIGION,10/13/18,3/30/19,,THE ALLYN & BACON GUIDE TO WRITING,,,
JOSHUA,JOSEPH F. GIRZONE,,RELIGION,4/20/19,9/14/19,,A READER'S GUIDE TO COLLEGE WRITING,,,
SEEKING THE HEART OF WISDOM: THE PATH OF INSIGHT MEDITATION,"JOSEPH GOLDSTEIN, JACK KORNFIELD",,RELIGION,4/3/16,9/17/16,,MYTH AND COSMOS: READINGS IN MYTHOLOGY AND SYMBOLISM,,,
BROKEN FOR HIS GLORY,JUDITH A. UPDIKE,,RELIGION,10/31/19,11/9/19,,WRITING A RESEARCH PAPER,,,
DISCOVER THE BIBLE FOR YOURSELF,KAY ARTHUR,,RELIGION,9/8/15,4/23/16,,"THE WORLD IS A TEXT: WRITING, READING, AND THINKING ABOUT CULTURE AND ITS CONTEXTS",,,
HOW TO STUDY YOUR BIBLE,KAY ARTHUR,,RELIGION,9/8/15,4/20/19,,STYLE: THE BASICS OF CLARITY AND GRACE SECOND EDITION,,,
THE SUNDAY READINGS,KEVIN O'SULLIVAN,,RELIGION,11/6/14,11/1/16,,HOW TO GET HAPPILY PUBLISHED: A COMPLETE AND CANDID GUIDE,,,
HEALING WORDS,LARRY DOSSEY,,RELIGION,11/6/14,2/21/15,,"THE LONGMAN WRITER: RHETORIC, READER, AND RESEARCH GUIDE",,,
A CASE FOR FAITH,LEE STROBEL,,RELIGION,9/8/15,9/17/16,,READING IMAGES,,,
RESTLESS HEART: THE STORY OF AUGUSTINE'S CONVERSION,MALACHY CULLEN,,RELIGION,10/14/17,3/30/19,,THE PRESS OF IDEAS,,,
GOD WHISPERS IN THE NIGHT,MARIE SHROPSHIRE,,RELIGION,4/3/16,9/17/16,,THE NORTON INTRODUCTION TO LITERATURE,,,
OPENING THE BOOK OF FAITH,MARK ALLAN POWELL,,RELIGION,9/15/18,9/15/18,,KEEP IT REAL,,,
WRITTEN ON OUR HEARTS: THE OLD TESTAMENT STORY OF GOD'S LOVE,MARY REED NEWLAND,,RELIGION,10/14/17,2/13/19,,PICTURING TEXTS,,,
REDISCOVER CATHOLICISM: A SPIRITUAL GUIDE TO LIVING WITH PASSION AND PURPOSE,MATTHEW KELLY,,RELIGION,10/14/17,2/13/19,,LIVING BETWEEN THE LINES,,,
REDISCOVER JESUS,MATTHEW KELLY,,RELIGION,4/3/16,9/17/16,,WRITING SPIRIT - FINDING YOUR CREATIVE SOUL,,,
REDISCOVER JESUS,MATTHEW KELLY,,RELIGION,9/15/18,9/15/18,,THE ELEMENTS OF GRAMMAR,,,
THE FOUR SIGNS OF A DYNAMIC CATHIKIC,MATTHEW KELLY,,RELIGION,4/3/16,2/4/17,,SO YOU WANT TO WRITE - HOW TO MASTER THE CRAFT OF WRITING FICTION AND MEMOIR,,,
OUR CATHOLIC FAITH: LIVING WHAT WE BELIEVE,MICHAEL PENNOCK,,RELIGION,10/14/17,12/2/17,,BENDING GENRE: ESSAYS ON CREATIVE NONFICTION,,,
THE SEEKER'S CATECHISM,MICHAEL PENNOCK,,RELIGION,11/6/14,9/17/16,,THE WRITER'S OPTIONS -LESSONS IN STYLE AND ARRANGEMENT 6TH EDITION,,,
HEARTS ON FIRE - PRAYING WITH JESUITS,N/A,"MICHAEL HARTER, S.J.",RELIGION,10/31/15,2/4/17,,OUR MATHEMATICAL UNIVERSE: MY QUEST FOR THE ULTIMATE NATURE OF REALITY,,,
HOLY BIBLE,N/A,,RELIGION,11/6/14,2/21/15,,THE SLIPPERY ART OF BOOK REVIEWING,,,
HOLY BIBLE,N/A,,RELIGION,12/7/19,,,TINKERTOYS,,,
HOLY BIBLE,N/A,,RELIGION,12/7/19,,,THE KING CONSPIRACY,,,
HOLY BIBLE,N/A,,RELIGION,12/7/19,,,A SENSE OF PLACE,,,
HOLY BIBLE,N/A,,RELIGION,12/7/19,,,CREATIVE WRITING: FORMS AND TECHNIQUES,,,
HOLY BIBLE,N/A,,RELIGION,12/7/19,,,THE WRITER'S FAQ: A POCKET HANDBOOK,,,
HOLY BIBLE,N/A,,RELIGION,12/7/19,,,CENSORSHIP - OPPOSING VIEWPOINTS,,,
HOLY BIBLE,N/A,,RELIGION,12/7/19,,,MEDICAL SCHOOL ESSAYS THAT MADE A DIFFERENCE,,,
HOLY BIBLE,N/A,,RELIGION,12/7/19,,,THE WELL-CRAFTED SENTENCE: A WRITER'S GUIDE TO STYLE,,,
HOLY BIBLE,N/A,,RELIGION,12/7/19,12/7/19,,DEVELOPING WRITERS 2ND EDITION -A DIALOGIC APPROACH,,,
LIFE APPLICATION STUDY BIBLE,N/A,,RELIGION,9/8/15,9/17/16,,WOE IS I: THE GRAMMARPHOBE'S GUIDE TO BETTER ENGLISH IN PLAIN ENGLISH,,,
MYTHOLOGY,N/A,,RELIGION,10/14/17,10/14/17,,THE PENGUIN DICTIONARY OF AMERICAN ENGLISH USAGE AND STYLE,,,
OUR DAILY BREAD,N/A,,RELIGION,12/2/17,10/13/18,,BUILDING VOCABULARY FOR COLLEGE,,,
THE BOOK OF MORMON: ANOTHER TESTAMENT OF JESUS CHRIST,N/A,,RELIGION,12/2/17,11/9/19,,BORDER TEXTS: CULTURAL READINGS FOR CONTEMPORARY WRITERS,,,
THE CATHOLIC YOUTH BIBLE,N/A,,RELIGION,10/14/17,11/9/19,,THE NORTON FIELD GUIDE TO WRITING,,,
THE NEW OXFORD ANNOTATED BIBLE,N/A,,RELIGION,2/9/19,4/20/19,,THE THINKERS'S GUIDE TO HOW TO WRITE A PARAGRAPH: THE ART OF SUBSTANTIVE WRITING,,,
THE NEW OXFORD ANNOTATED BIBLE,N/A,,RELIGION,2/9/19,4/20/19,,HUNGER OF MEMORY: THE EDUCATION OF RICHARD RODRIGUEZ,,,
THE UNLIMITED POWER OF PRAYER,N/A,,RELIGION,11/6/14,11/1/16,,THE COLLEGE HANDBOOK OF CREATIVE WRITING 3RD EDITION,,,
UNION PRAYER BOOK,N/A,,RELIGION,11/6/14,11/1/16,,THE NORTON BOOK OF NATURE WRITING,,,
A MANUAL OF BUDDHISM,NARADA,,RELIGION,4/3/16,9/17/16,,HOW TO SAY IT,,,
CONVERSATIONS WITH GOD,NEALE DONALD WALSH,,RELIGION,9/8/15,12/6/15,,50 ESSAYS: A PORTABLE ANTHOLOGY,,,
GROWING YOUR SOUL: PRACTICAL STEPS TO INCREASE YOUR SPIRITUALITY,NEIL B. WISEMAN,,RELIGION,11/9/16,2/4/17,,NOW WRITE,,,
THE JEWISH HOLIDAY HOME COMPANION,"NICOLAS D. MANDELKERN, VICKI L. WEBER",,RELIGION,12/2/17,3/30/19,,SIGNS OF LIFE IN THE USA: READING ON POPULAR CULTURE FOR WRITERS,,,
THE JEWISH HOLIDAY HOME COMPANION,"NICOLAS D. MANDELKERN, VICKI L. WEBER",,RELIGION,4/20/19,4/20/19,,BUSINESS ETIQUETTE FOR DUMMIES,,,
SHAMANISM,PIERS VITEBSKY,,RELIGION,4/3/16,4/23/16,,WORDS' WORTH: WRITE WELL AND PROPSER,,,
TO THE PRAISE OF HIS GLORY,"RICHARD MCMILLEN, DOROTHY MCMILLEN",,RELIGION,9/9/17,2/13/19,,SOUND AND SENSE: AN INTRODUCTION TO POETRY,,,
YOU CAN WITNESS WITH CONFIDENCE,ROSALIND RINKER,,RELIGION,11/9/16,4/20/19,,THE COLLEGE WRITER BRIEF,,,
CHINESE GLEAMS OF SUFI LIGHT,SACHIKO MURATA,,RELIGION,4/21/18,4/21/18,,EXCELLENCE IN PUBLIC SPEAKING,,,
NATIVE AMERICAN RELIGIONS,SAM D. GILL,,RELIGION,4/3/16,4/22/17,,INTIMATE JOURNALISM,,,
GEMSTONES OF THE GOOD DHARMA,SHRAVASTI SADDHAMMA-MANIRATANA,,RELIGION,12/2/17,12/2/17,,WRITING ABOUT NATURE,,,
DHAMMAPADA: A PRACTICAL GUIDE TO RIGHT LIVING,SRI ACHARYA BUDDHARAKKHITA,,RELIGION,4/3/16,2/4/17,,THE ELEMENTS OF STYLE,,,
A LIFE OF BLESSINGS,T. Y. LEE,,RELIGION,4/3/16,3/4/17,,WRITING FOR PROFESSIONAL PUBLICATION,,,
SPRITUAL MENTORING,TAD DUNNE,,RELIGION,11/6/14,12/6/15,,THE BEDFORD READER,,,
THE WINGS TO AWAKENING,THANISSARO BHIKKHU,,RELIGION,4/3/16,2/4/17,,LITERATURE FOR LIFE,,,
BEING PEACE,THICH NHAT HANH,,RELIGION,4/3/16,4/23/16,,BIRD BY BIRD,,,
EMBRACED BY ANGELS,WILLIAM BURT,,RELIGION,10/31/15,2/4/17,,PATTERNS FOR A PURPOSE: A RHETORICAL READER 6TH EDITION,,,
RELIGIOUS WORLDS: THE COMPARITIVE STUDY OF RELIGION,WILLIAM PADEN,,RELIGION,11/4/14,2/21/15,,THE ALPHABET OF THE TREES: A GUIDE TO NATURE WRITING,,,
BIG CHERRY HOLLER,ADRIANA TRIGIANI,,ROMANCE,12/7/19,,,TO TELL THE TRUTH,,,
SEDUCTION,AMANDA QUICK,,ROMANCE,12/2/17,12/2/17,,TO TELL THE TRUTH: PRACTICE AND CRAFT IN NATTATIVE NONFICTION,,,
TENDER ASSAULT,ANNE MATHER,,ROMANCE,10/14/17,9/15/18,,WAYS OF READING: AN ANTHOLOGY FOR WRITERS,,,
THE ACCIDENTAL TOURIST,ANNE TYLER,,ROMANCE,9/14/19,11/9/19,,A WRITER'S REFERENCE: THIRD EDITION,,,
THE FENCING MASTER,ARTURO PEREZ-REVERTE,,ROMANCE,10/14/17,10/13/18,,A POCKET STYLE MANUAL,,,
SECRETS FROM THE PAST,BARBARA TAYLOR BRADFORD,,ROMANCE,11/9/19,,,A WRITER'S REFERENCE,,,
THE READER,BERNHARD SCHLINK,,ROMANCE,10/14/17,3/30/19,,OPEN ROADS: EXERCISES IN WRITING POETRY,,,
THE READER,BERNHARD SCHLINK,,ROMANCE,12/7/19,,,FIGURES OF THOUGHT FOR COLLEGE WRITERS,,,
GOLD MOUNTAIN,CHARLES FRAZIER,,ROMANCE,4/20/19,,,SEEING AND WRITING 4,,,
RELENTLESS,CHERRY ADAIR,,ROMANCE,11/9/19,11/9/19,,GRAMMAR AND WRITING SKILLS FOR THE HEALTH CARE PROFESSIONAL,,,
DARK CELEBRATION,CHRISTINE FEEHAN,,ROMANCE,2/13/19,2/13/19,,PROSE MODELS -11TH EDITION,,,
DARK CURSE,CHRISTINE FEEHAN,,ROMANCE,10/13/18,10/13/18,,THE PRACTICE OF CREATIVE WRITING: A GUIDE FOR STUDENTS,,,
DARK POSSESSION,CHRISTINE FEEHAN,,ROMANCE,10/13/18,10/13/18,,THE POSTMODERN TURN: ESSAYS IN POSTMODERN THEORY AND CULTURE,,,
ANSWERED PRAYERS,DANIELLE STEEL,,ROMANCE,11/9/19,,,READING LIFE -A WRITER'S READER,,,
GOING HOME,DANIELLE STEEL,,ROMANCE,11/9/19,12/7/19,,THE WRITER'S HOME COMPANION,,,
SEASON OF PASSION,DANIELLE STEEL,,ROMANCE,10/31/19,12/7/19,,YOUNG SCHOLARS IN WRITING: UNDERGRADUATE RESEARCH IN WRITING AND RHETORIC,,,
SEASON OF PASSION,DANIELLE STEEL,,ROMANCE,11/9/19,,,E-MAIL: A WRITE IT WELL GUIDE,,,
